Personaje,Relacion,Tipo,Temporada,Episodio,Descripcion
Monica Geller,Chandler Bing,Pareja principal,4,24,Comenzaron como amigos y terminaron casándose y adoptando mellizos.
Monica Geller,Richard Burke,Relación seria,2,15,El mejor amigo oftalmólogo de sus padres; Rompieron porque él no quería tener más hijos.
Monica Geller,Pete Becker,Relación seria,3,13,Un millonario que se enamora de Monica; Terminó cuando él decidió dedicarse a ser luchador de artes marciales mixtas.
Monica Geller,Paul, 'El Chico del Vino',Cita (Episodio 1),1,1,Su primera cita en la serie; que miente sobre su sensibilidad para llevarla a la cama.
Monica Geller,Alan,Novio breve,1,3,El único novio que les gustó a todos sus amigos.
Monica Geller,"Fun Bobby",Novio breve,1,10,Un chico muy divertido; hasta que descubren que su "diversión" se debe a su alcoholismo.
Monica Geller,Ethan,Novio breve,2,9,Un chico con el que tuvo una relación seria antes de descubrir que era menor de edad.
Monica Geller,Los Doctores (Dr. Mitchell y Dr. Rosen),Citas (Cameo),1,17,"Salió con dos doctores (interpretados por George Clooney y Noah Wyle) en una cita doble con Rachel."
Ross Geller,Rachel Green,Pareja principal,1,1,Su ""langosta"" y la madre de su hija; Emma. Se casaron dos veces (una borrachos) y terminan juntos.
Ross Geller,Carol Willick,Matrimonio,1,2,Su primera esposa y la madre de su hijo; Ben. Se divorciaron porque ella era lesbiana.
Ross Geller,Emily Waltham,Matrimonio,4,20,Su segunda esposa. Se casaron en Londres; pero el matrimonio fracasó después de que Ross dijera el nombre de Rachel en el altar.
Ross Geller,Julie,Novia seria,1,24,Colega paleontóloga que conoció en China y con la que tuvo una relación al principio de la serie.
Ross Geller,Elizabeth Stevens,Novia seria,6,18,"Una estudiante universitaria con la que salió a pesar de la diferencia de edad y la desaprobación de su padre; Paul Stevens."
Ross Geller,Mona,Novia seria,8,1,Salió con ella después de que Rachel diera a luz a Emma. Se separaron por la tensión de la paternidad de Ross.
Ross Geller,Bonnie,Novia breve,3,24,La chica de la cabeza rapada que Rachel convenció de raparse de nuevo.
Ross Geller,Chloe,Encuentro casual,3,15,La chica de la copistería con la que ""se tomó un descanso"" de Rachel.
Ross Geller,Jill Green,Cita,6,13,La hermana de Rachel con la que intentó salir por despecho.
Ross Geller,Amanda,Cita,2,21,Una chica que era igual de desordenada que él; pero que no pudo soportar.
Rachel Green,Ross Geller,Pareja principal,1,1,Su relación más importante. Tuvieron una hija; Emma.
Rachel Green,Barry Farber,Prometido,1,1,Su ex prometido dentista a quien dejó en el altar.
Rachel Green,Paolo,Novio breve,1,7,Su vecino italiano con el que tuvo una breve aventura.
Rachel Green,Joshua Burgin,Novio breve,4,18,Un cliente de Bloomingdale's con el que intentó impresionar a Ross.
